video_id,comment_id,author_display_name,text,published_at,like_count
JENpTmMQBQY,UgzNnCUp1VyatqutbCh4AaABAg,@gorbyirawanmade7241,Jangan pisahkan mereka dari cintanya karena tuhan.. Dan jangan pisahkan mereka dari tuhannya karena cinta..,2025-05-20T13:43:54Z,0
JENpTmMQBQY,Ugxrms8YWkPzgUPZxDV4AaABAg,@ferdyajisatrio1181,Gua lagi mencermati isi vidio nya,2025-05-20T13:18:20Z,0
JENpTmMQBQY,UgwZm3VDkAAlEIxu-fp4AaABAg,@wahidafriansyah9459,2 tahun udah denger lagu ini knpa baru viralnya srkng ya wkwk,2025-05-20T13:07:07Z,0
JENpTmMQBQY,Ugxv-SbBPOjvFlwWo0V4AaABAg,@vinrise6777,"Ga bisa berkata kata. Intinya ""MAAF""",2025-05-20T13:06:08Z,0
JENpTmMQBQY,UgxozzHeC5gFbI6VMKF4AaABAg,@dekaaditya8376,like,2025-05-20T13:02:26Z,0
JENpTmMQBQY,Ugx2GnBFHKLsETKPInp4AaABAg,@MeliyantiYanti-s9w,"Baca komen"" disini 😢 
Jadi mengenang pernah pacaran beda agama 3 tahun, sekarang saya sudah menikah dengen yg lain, meski kadang saya merindukannya",2025-05-20T13:01:18Z,0
JENpTmMQBQY,UgxyU7e_d3jRqz_MFXF4AaABAg,@mikomiko3176,"Kau yang disana pejamkanlah matamu
Gumamkanlah segala doa untuk cinta
Agar perjumpaan kita segera terlaksana
Dalam balutan restu sang maha kuasa.",2025-05-20T12:57:22Z,0
JENpTmMQBQY,Ugz7D11enF5ZYCun5Yd4AaABAg,@neladira,dapit canggg nani ga suki joko minto,2025-05-20T12:49:41Z,0
JENpTmMQBQY,UgzvlAAyLbTXsX-2M5h4AaABAg,@yunitaindahsari361,🤲🌻,2025-05-20T12:36:22Z,0
JENpTmMQBQY,Ugwi3OdvoJxU-HbBbBx4AaABAg,@aurairfani,Soundtrack hidup Desta dan Caca kah? :'),2025-05-20T12:34:51Z,0
JENpTmMQBQY,UgyiVivRP2lGAzz_ug14AaABAg,@bismabisma7950,"Loh siapa yang ngetik anji*"" dan omongan saru syapa syapa syapa syapaaaaaaaaaa~~~~~~~~",2025-05-20T12:31:25Z,0
JENpTmMQBQY,UgzqwtWc0v8Ah74bLOF4AaABAg,@Ominousfable,😢,2025-05-20T12:18:17Z,0
JENpTmMQBQY,UgyxaOge9BM8aEI4rr94AaABAg,@dikariandaganteng7582,Hawa murtad njirrrr,2025-05-20T12:15:26Z,0
JENpTmMQBQY,Ugxo8O-u3ZR-t5bRU2d4AaABAg,@shyntamarch5252,GILA emang ga pernah gagal fourtwenty enakkkkkkk bgttttttttt,2025-05-20T12:14:57Z,0
JENpTmMQBQY,UgwPyGwOslYf-ENXuk14AaABAg,@likewater2528,"Cerita temenku sama cewek nya,,,temanku budha,,cewek nya islam",2025-05-20T11:57:01Z,1
JENpTmMQBQY,UgxDb9yj6qEzPnfUhEt4AaABAg,@bilqis1696,Aku islam dia katolik.... Tapi sudah berkeluarga masing2... Semoga sama2 punya keluarga yang bahagia dan sehat selalu... Aamin,2025-05-20T11:56:22Z,1
JENpTmMQBQY,UgxZ9SxFbulY9woz4Wl4AaABAg,@GendhisSakinah,"Masa remajaku dengan 1 orang sama. Putus nyambung karna restu orangtua selama hampir 7tahun. Akhirnya aku menyerah mundur. Hingga 2tahun kemudian ku mendengar dia pergi selamanya. 
RIP my very first love.❤",2025-05-20T11:54:06Z,1
JENpTmMQBQY,UgycPrI0AvswSEufvmJ4AaABAg,@garagarayoutube2001,Kuma,2025-05-20T11:50:09Z,0
JENpTmMQBQY,UgzYE38CQaiKb73n8cR4AaABAg,@zenzaien7865,Wkt d tpt makan diputerin lagu ini eh kok enak,2025-05-20T11:43:21Z,0
JENpTmMQBQY,Ugww3Y7BbVKvd6dPDEV4AaABAg,@deera1335,Ini kenapa baru viralnya sekarang?,2025-05-20T11:39:09Z,0
JENpTmMQBQY,UgyTT4z2IrbOOQXKsBZ4AaABAg,@adeirmabudianti5292,"Sliweran di beranda lagu ini.gara"" lihat kenriz full duet baru tahu makna lagu ini
Bagus dalem bnget lagunya",2025-05-20T11:34:42Z,0
JENpTmMQBQY,Ugza6jGfM7TaEmXMieB4AaABAg,@Rahmawati-db7wm,"Lagu ini naik gara2 cover vanessa sm kenriz ga sih, soalnya aku taunya dari mereka",2025-05-20T11:27:04Z,0
JENpTmMQBQY,Ugw-rEtd4t84agdJOMB4AaABAg,@gadismecil,gara-gara anak gajah tertabrak jadi kesini.. :(,2025-05-20T11:26:03Z,0
JENpTmMQBQY,UgyPd73ceOgwTvUTewR4AaABAg,@sitikhadijah8961,Kesini lagi gara gara kenriz vanesa,2025-05-20T11:25:27Z,0
JENpTmMQBQY,UgxEizHmnA5GLkt7fdN4AaABAg,@Healme_Official,"Suatu malam adam bercerita
Hawanya tak lagi di jalur yang sama
Bacaan dan doa yang mulai berbeda
Ego dan air mata kita bicara
Gila tak masuk logika
Termangu hatiku
Kau menggenggam kumenadahnya
Berdamai dengan apa yang terjadi
Kunci dari semua masalah ini
Jujur tak mudah untuk melangkah pergi
Ini soal hati bukan yang diyakini
Ow gila tak masuk logika
Termangu hatiku
Kau menggenggam kumenadahnya
Ow gila ini tak biasa
Tertegun hatiku
Kau menggenggam kumenadahnya
Ho oh
Jangan salahkan faham ku kini tertuju oh
Siapa yang tau
Siapa yang mau
Kau di sana
Aku diseberangmu
Cerita kita sulit dicerna
Tak lagi sama
Cara berdoa
Cerita kita sulit diterka
Tak lagi sama
Arah kiblatnya oh

Cerita kita sulit dicerna
Tak lagi sama
Cara berdoa
Oh cerita kita sulit diterka
Tak lagi sama
Arah kiblatnya",2025-05-20T11:02:59Z,0
JENpTmMQBQY,UgxX8XuBP-nrl30uvAF4AaABAg,@SuciAmaliaNursyahidaPutri,Berkali-kali putar video clip nya gak faham sama alurnya,2025-05-20T10:59:39Z,0
JENpTmMQBQY,UgwZBkkrp68yukEWhtV4AaABAg,@chrisvydjap3695,Karena dua insan yang meski telah bersatu belum tentu searah jiwanya.,2025-05-20T10:40:25Z,0
JENpTmMQBQY,UgztF9sjlDcOS8RWqPZ4AaABAg,@sitiamirah9741,Sehati namun tak setakdir 😊,2025-05-20T10:37:59Z,0
JENpTmMQBQY,Ugzwc0-6FgRPR6nImeF4AaABAg,@khoirulmounha8830,Suaranya mirip Rian D'Masiv. Aku pikir suaranya rian... Love the song 😊,2025-05-20T10:35:51Z,0
