video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count
JENpTmMQBQY,UgzNnCUp1VyatqutbCh4AaABAg,@gorbyirawanmade7241,Jangan pisahkan mereka dari cintanya karena tuhan.. Dan jangan pisahkan mereka dari tuhannya karena cinta..,2025-05-20T13:43:54Z,0,pisahkan cintanya tuhan pisahkan tuhannya cinta,6
JENpTmMQBQY,UgwZm3VDkAAlEIxu-fp4AaABAg,@wahidafriansyah9459,2 tahun udah denger lagu ini knpa baru viralnya srkng ya wkwk,2025-05-20T13:07:07Z,0,dengar lagu viralnya srkng ya wkwk,6
JENpTmMQBQY,Ugx2GnBFHKLsETKPInp4AaABAg,@MeliyantiYanti-s9w,"Baca komen"" disini 😢 
Jadi mengenang pernah pacaran beda agama 3 tahun, sekarang saya sudah menikah dengen yg lain, meski kadang saya merindukannya",2025-05-20T13:01:18Z,0,baca komen mengenang pacaran beda agama menikah dengen kadang merindukannya,10
JENpTmMQBQY,UgxyU7e_d3jRqz_MFXF4AaABAg,@mikomiko3176,"Kau yang disana pejamkanlah matamu
Gumamkanlah segala doa untuk cinta
Agar perjumpaan kita segera terlaksana
Dalam balutan restu sang maha kuasa.",2025-05-20T12:57:22Z,0,kau disana pejamkanlah matamu gumamkanlah doa cinta perjumpaan terlaksana balutan restu sang maha kuasa,14
JENpTmMQBQY,Ugz7D11enF5ZYCun5Yd4AaABAg,@neladira,dapit canggg nani ga suki joko minto,2025-05-20T12:49:41Z,0,dapit cang nani suki joko minto,6
JENpTmMQBQY,UgyiVivRP2lGAzz_ug14AaABAg,@bismabisma7950,"Loh siapa yang ngetik anji*"" dan omongan saru syapa syapa syapa syapaaaaaaaaaa~~~~~~~~",2025-05-20T12:31:25Z,0,loh mengetik anji omongan saru syapa syapa syapa syapa,9
JENpTmMQBQY,UgwPyGwOslYf-ENXuk14AaABAg,@likewater2528,"Cerita temenku sama cewek nya,,,temanku budha,,cewek nya islam",2025-05-20T11:57:01Z,1,cerita temenku cewek nyatemanku budhacewek nya islam,7
JENpTmMQBQY,UgxDb9yj6qEzPnfUhEt4AaABAg,@bilqis1696,Aku islam dia katolik.... Tapi sudah berkeluarga masing2... Semoga sama2 punya keluarga yang bahagia dan sehat selalu... Aamin,2025-05-20T11:56:22Z,1,islam katolik berkeluarga semoga keluarga bahagia sehat amin,8
JENpTmMQBQY,UgxZ9SxFbulY9woz4Wl4AaABAg,@GendhisSakinah,"Masa remajaku dengan 1 orang sama. Putus nyambung karna restu orangtua selama hampir 7tahun. Akhirnya aku menyerah mundur. Hingga 2tahun kemudian ku mendengar dia pergi selamanya. 
RIP my very first love.❤",2025-05-20T11:54:06Z,1,remajaku orang putus menyambung restu orangtua menyerah mundur ku mendengar pergi rip first love,14
JENpTmMQBQY,UgzYE38CQaiKb73n8cR4AaABAg,@zenzaien7865,Wkt d tpt makan diputerin lagu ini eh kok enak,2025-05-20T11:43:21Z,0,tpt makan diputerin lagu eh enak,6
JENpTmMQBQY,UgyTT4z2IrbOOQXKsBZ4AaABAg,@adeirmabudianti5292,"Sliweran di beranda lagu ini.gara"" lihat kenriz full duet baru tahu makna lagu ini
Bagus dalem bnget lagunya",2025-05-20T11:34:42Z,0,sliweran beranda lagu inigara lihat kenriz ful duet makna lagu bagus dalem banget lagunya,14
JENpTmMQBQY,Ugza6jGfM7TaEmXMieB4AaABAg,@Rahmawati-db7wm,"Lagu ini naik gara2 cover vanessa sm kenriz ga sih, soalnya aku taunya dari mereka",2025-05-20T11:27:04Z,0,lagu gara cover vanessa kenriz sih taunya,7
JENpTmMQBQY,UgxX8XuBP-nrl30uvAF4AaABAg,@SuciAmaliaNursyahidaPutri,Berkali-kali putar video clip nya gak faham sama alurnya,2025-05-20T10:59:39Z,0,berkalikali putar video clip nya faham alurnya,7
