video_id,comment_id,author_display_name,text,published_at,like_count
1WXfqPbbIZs,UgwRGq0gYoccep-QbEB4AaABAg,@Clarenentertainment,"belum lagi ada QRIS TAB , ngak perlu scan tinggal tab. Selain itu ada lagi project QRIS cross border",2025-05-12T04:51:47Z,0
1WXfqPbbIZs,Ugww5iqhilTdRyQx3WN4AaABAg,@jamurjogja2470,Semoga coretak juga efisien,2025-05-12T04:26:03Z,0
1WXfqPbbIZs,UgyY_wpOV8wYMNQSDSB4AaABAg,@asrilmohammad3922,"Bro negara Thailand elu salah bidik, yang dikau tunjuk itu Myanmar....tapi qris oke sih..Amaze banget....terusin Indonesia",2025-05-12T04:16:30Z,1
1WXfqPbbIZs,UgwjUmsG0AQlBghhLuB4AaABAg,@pacekombe8794,IMF : terima kasih Bank Indonesia 😘😘😘,2025-05-12T04:07:05Z,0
1WXfqPbbIZs,UgyJutMJArBUvlVIEQt4AaABAg,@YNGGGSS,qris bagai bayi yg baru saja lahir dan masi suci klo di bawa ke hal negatif dia akan menjadi pengaruh buruk sebaliknya klo di bawa ke hal positif akan menjadi pengaruh baik untuk kedepannya,2025-05-12T03:52:04Z,0
1WXfqPbbIZs,UgxKqKc8vcLbTTW7BLd4AaABAg,@gna3276,"kalau sampe Qris ada campur tangan politik apalagi pengusaha2 yang sok-sok ikut campur dan berebut menjadikan Qris hak milik independen (dalam tanda kutip contoh simplenya tapi jelas adalah Komisi Pemberantasan K* ).. 😌🥱
Siap-siap aja deh, NEGARA KITA AKAN TINGGAL ""NAMA"" KARENA SEMUA AKAN DIMANIPULATIF DEMI KEPENTING INILAH ITULAH bla bla bla,, capek tau tinggal di negara yang katanya musyawarah adalah jalan damai kita masyarakat untuk mencapai suatu kesepakatan.. 💩💩💩💩💩
cuih banagett.. 
piss salam DAMAI 😂🤣",2025-05-12T03:31:02Z,0
1WXfqPbbIZs,UgwmPDaHsHq3-Pij32N4AaABAg,@AdhiChandra-nw7rm,Panjang umur lu yg bikin qris. Sumpah mempermudah bgtttttt bgtt bgttt,2025-05-12T03:22:56Z,0
1WXfqPbbIZs,Ugw9TB3panTmNVEN4Mt4AaABAg,@akonaja6876,"ini yg betul sebutannya  QR (kiu-ar) code, BUKAN BARCODE.  Sering banget disebut barcode, bikin bingung & bikin malu krn menandakan org kurang pendidikan.",2025-05-12T03:20:19Z,0
1WXfqPbbIZs,UgxmxeRWa-XuZaF8Hgh4AaABAg,@anugrahb.setiawan2515,"sepertinya bukan QRIS-Tap yang akan ditakuti oleh Visa-Master, bahkan bukan juga QRIS lokal yang ditakuti (walau volumenya sudah menakutkan juga).
yang ditakuti adalah jelmaan baru QRIS (baru diluncurkan tahun kemarin, dan sudah dipresentasikan di G20), yaitu QRIS-Cross (alias QRIS Cross-border), QRIS yang bisa digunakan diluar negri oleh warga indonesia dan bisa digunakan oleh warga luar negri di indonesia.
saat ini cakupannya baru di Malaysia dan Thailand. tapi kita bisa lihat nanti, seberapa kuat ini akan bergulir, karena biayanya jauh lebih murah dari menggunakan jalur Visa-Master, dan ini menggunakan mata uang lokal, bukan double conversion seperti kalau pakai jalur Visa-Master. kalau seluruh asean bisa terhubung dengan QRIS-Cross, apalagi bila China juga ikutan (tentunya dengan bekerja sama dengan sistem payment mereka), tentunya ini akan mengganggu hegemoni Visa-Master dan hegemoni US dollar.
lebih lanjut, bila ini juga diterapkan di negara2 yang banyak pekerja migran indonesianya (HK, Taiwan, negara2 Timur Tengah, dan lain2) tentunya akan ada lonjakan transaksi antar negara yang tidak masuk ke Visa-Master lagi.
langsung terbayang kan, betapa ini akan disrupt Visa-Master.",2025-05-12T02:43:21Z,0
1WXfqPbbIZs,UgyUpOrkEfrR0yf4mFl4AaABAg,@ajat.sudrajat,dgn qris udh ga ada lagi yg nama nya kembalian di kasih permen😊,2025-05-12T02:31:26Z,0
