video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count
1WXfqPbbIZs,UgwRGq0gYoccep-QbEB4AaABAg,@Clarenentertainment,"belum lagi ada QRIS TAB , ngak perlu scan tinggal tab. Selain itu ada lagi project QRIS cross border",2025-05-12T04:51:47Z,0,qris tab scan tinggal tab project qris cross border,9
1WXfqPbbIZs,UgyY_wpOV8wYMNQSDSB4AaABAg,@asrilmohammad3922,"Bro negara Thailand elu salah bidik, yang dikau tunjuk itu Myanmar....tapi qris oke sih..Amaze banget....terusin Indonesia",2025-05-12T04:16:30Z,1,bro negara thailand lu salah bidik dikau myanmartapi qris oke sihamaze bangetterusin indonesia,13
1WXfqPbbIZs,UgxKqKc8vcLbTTW7BLd4AaABAg,@gna3276,"kalau sampe Qris ada campur tangan politik apalagi pengusaha2 yang sok-sok ikut campur dan berebut menjadikan Qris hak milik independen (dalam tanda kutip contoh simplenya tapi jelas adalah Komisi Pemberantasan K* ).. 😌🥱
Siap-siap aja deh, NEGARA KITA AKAN TINGGAL ""NAMA"" KARENA SEMUA AKAN DIMANIPULATIF DEMI KEPENTING INILAH ITULAH bla bla bla,, capek tau tinggal di negara yang katanya musyawarah adalah jalan damai kita masyarakat untuk mencapai suatu kesepakatan.. 💩💩💩💩💩
cuih banagett.. 
piss salam DAMAI 😂🤣",2025-05-12T03:31:02Z,0,qris campur tangan politik pengusaha soksok campur berebut menjadikan qris hak milik independen tanda kutip contoh simplenya komisi pemberantasan siapsiap deh negara tinggal nama dimanipulatif kepenting bla bla bla capek tau tinggal negara musyawarah jalan damai masyarakat mencapai kesepakatan cuih banagett piss salam damai,44
1WXfqPbbIZs,UgwmPDaHsHq3-Pij32N4AaABAg,@AdhiChandra-nw7rm,Panjang umur lu yg bikin qris. Sumpah mempermudah bgtttttt bgtt bgttt,2025-05-12T03:22:56Z,0,umur lu bikin qris sumpah mempermudah bgtttttt banget banget,9
1WXfqPbbIZs,Ugw9TB3panTmNVEN4Mt4AaABAg,@akonaja6876,"ini yg betul sebutannya  QR (kiu-ar) code, BUKAN BARCODE.  Sering banget disebut barcode, bikin bingung & bikin malu krn menandakan org kurang pendidikan.",2025-05-12T03:20:19Z,0,sebutannya qr kiuar code barcode banget barcode bikin bingung bikin malu menandakan orang pendidikan,14
1WXfqPbbIZs,UgxmxeRWa-XuZaF8Hgh4AaABAg,@anugrahb.setiawan2515,"sepertinya bukan QRIS-Tap yang akan ditakuti oleh Visa-Master, bahkan bukan juga QRIS lokal yang ditakuti (walau volumenya sudah menakutkan juga).
yang ditakuti adalah jelmaan baru QRIS (baru diluncurkan tahun kemarin, dan sudah dipresentasikan di G20), yaitu QRIS-Cross (alias QRIS Cross-border), QRIS yang bisa digunakan diluar negri oleh warga indonesia dan bisa digunakan oleh warga luar negri di indonesia.
saat ini cakupannya baru di Malaysia dan Thailand. tapi kita bisa lihat nanti, seberapa kuat ini akan bergulir, karena biayanya jauh lebih murah dari menggunakan jalur Visa-Master, dan ini menggunakan mata uang lokal, bukan double conversion seperti kalau pakai jalur Visa-Master. kalau seluruh asean bisa terhubung dengan QRIS-Cross, apalagi bila China juga ikutan (tentunya dengan bekerja sama dengan sistem payment mereka), tentunya ini akan mengganggu hegemoni Visa-Master dan hegemoni US dollar.
lebih lanjut, bila ini juga diterapkan di negara2 yang banyak pekerja migran indonesianya (HK, Taiwan, negara2 Timur Tengah, dan lain2) tentunya akan ada lonjakan transaksi antar negara yang tidak masuk ke Visa-Master lagi.
langsung terbayang kan, betapa ini akan disrupt Visa-Master.",2025-05-12T02:43:21Z,0,qristap ditakuti visamaster qris lokal ditakuti volumenya menakutkan ditakuti jelmaan qris diluncurkan kemarin dipresentasikan qriscross alias qris crossborder qris diluar negeri warga indonesia warga negeri indonesia cakupannya malaysia thailand lihat kuat bergulir biayanya murah jalur visamaster mata uang lokal double conversion pakai jalur visamaster asean terhubung qriscross china ikutan sistem payment mengganggu hegemoni visamaster hegemoni us dollar diterapkan negara pekerja migran indonesianya hk taiwan negara timur lonjakan transaksi negara masuk visamaster langsung terbayang betapa disrupt visamaster,76
1WXfqPbbIZs,UgyUpOrkEfrR0yf4mFl4AaABAg,@ajat.sudrajat,dgn qris udh ga ada lagi yg nama nya kembalian di kasih permen😊,2025-05-12T02:31:26Z,0,qris nama nya kembalian kasih permen,6
1WXfqPbbIZs,Ugzr3fcXK5LQbV6MhmB4AaABAg,@skuylah8045,dulu 2020 banyak umkm skeptis sama Qris ini tapi dah 2025 hampir semua umkm pake Qris semua MAAANTAAAP,2025-05-12T02:17:14Z,0,umkm skeptis qris deh umkm pakai qris maaantaaap,8
1WXfqPbbIZs,Ugy0GEDDdAHF3dHIlUB4AaABAg,@TONIOTO,"Klo QRIS nya dikeluarin dari mesin EDC, itu bkn punya BI ya berarti. Klo belanja suka ditanya QRIS bank apa, sya sebut bank nya kasirnya ngambil edc sesuai bank yg sya sebut.",2025-05-12T01:56:17Z,0,kalo qris nya dikeluarin mesin edc bi ya kalo belanja suka qris bank bank nya kasirnya ngambil edc sesuai bank,20
1WXfqPbbIZs,UgwQoheD3fk2Vv6KEbl4AaABAg,@kebetulanlewat5680,"Bang, bahas dampak masuk Vaksin TBC ke indonesia secara ekonomi dan perkembangan negara, bagaimana keterkaitannya dengan perang pasar global, serta tolong bahas tentang mengapa orang kita tidak mengecek, mencontek, dan mengembangkan sendiri inovasi mereka tentang Vaksin TB itu dengan negara yang bisa diajak kerjasama dengan negara kita seperti cina dan member BRICS lainnya, sehingga kita bisa beridir sendrii dari segala sisi untuk tidak terjajah secara ekonomi oleh mereka. semoga bisa dipertimbangkan bang.",2025-05-12T01:51:02Z,0,bang bahas dampak masuk vaksin tbc indonesia ekonomi perkembangan negara keterkaitannya perang pasar global tolong bahas orang mengecek mencontek mengembangkan inovasi vaksin tb negara diajak kerjasama negara cina member brics beridir sendrii sisi terjajah ekonomi semoga dipertimbangkan bang,38
